teu_count,train_length,total_distance_trip,departure_delay,arrival_delay,distance_between_control_stations,weight_per_length_of_train,weight_per_wagon_of_train
72.28,632.0,73.38766521801544,1.0,-25.0,49.93637951541141,2.1037737341772154,40.290454545454544
40.57,626.0,73.26746752917097,2.0,0.0,53.02470713863994,1.5315654952076678,29.96125
38.25,322.0,120.64814681172649,-21.0,36.0,53.02470713863994,2.446170807453416,78.7667
14.5,328.0,120.64814681172649,34.0,25.0,53.02470713863994,1.6640243902439023,54.58
69.0,564.0,73.26746752917097,-21.0,-32.0,53.02470713863994,1.7162925531914894,31.22545161290323
70.63,534.0,73.26746752917097,698.0,706.0,53.02470713863994,2.437123595505618,44.87668965517241
70.78,640.0,73.26746752917097,18.0,24.0,53.02470713863994,1.7322578124999999,33.59530303030303
42.54,646.0,73.26746752917097,-33.0,-37.0,53.02470713863994,1.568390092879257,31.661875
35.45,616.0,73.26746752917097,-1.0,-14.0,53.02470713863994,1.2824074675324675,25.482677419354836
78.79,646.0,73.26746752917097,-4.0,-13.0,53.02470713863994,1.8237863777089782,36.8176875
83.37,606.0,73.26746752917097,31.0,-13.0,53.02470713863994,2.150260726072607,43.435266666666664
42.62,594.0,73.26746752917097,7.0,-8.0,53.02470713863994,1.4792356902356902,27.4583125
77.23,608.0,73.26746752917097,22.0,26.0,53.02470713863994,1.9860625,36.59169696969697
2.25,322.0,120.64814681172649,35.0,58.0,53.02470713863994,1.040062111801242,33.489999999999995
85.81,642.0,73.38766521801544,-19.0,2.0,9.493529796600342e-05,3.483355140186916,72.13916129032258
16.92,322.0,120.64814681172649,19.0,29.0,53.02470713863994,1.6987484472049688,54.69969999999999
11.25,328.0,120.64814681172649,32.0,24.0,53.02470713863994,1.2267591463414635,40.237700000000004
40.5,322.0,120.64814681172649,47.0,50.0,53.02470713863994,2.634975155279503,84.8462
47.25,356.0,120.64814681172649,-10.0,-21.0,53.02470713863994,2.649758426966292,85.75581818181819
58.5,422.0,120.64814681172649,-34.0,-39.0,53.02470713863994,2.8763175355450237,93.3696923076923
36.0,332.0,120.64814681172649,-24.0,-41.0,53.02470713863994,2.5036144578313255,83.12
54.0,408.0,120.64814681172649,44.0,31.0,53.02470713863994,2.722781862745098,85.45346153846154
20.25,322.0,120.64814681172649,3.0,-4.0,53.02470713863994,1.878363354037267,60.4833
17.35,242.0,49.936474450709376,15.0,-11.0,49.93637951541141,1.8131900826446279,31.342285714285712
58.46,586.0,49.936474450709376,63.0,34.0,49.93637951541141,1.9837133105802045,37.49858064516129
52.82,404.0,49.936474450709376,4.0,-22.0,49.93637951541141,2.365611386138614,41.55247826086956
34.92,322.0,120.64814681172649,15.0,5.0,53.02470713863994,2.195360248447205,70.69059999999999
83.82,626.0,73.26746752917097,5.0,0.0,53.02470713863994,2.416761980830671,52.16872413793104
75.34,618.0,73.26746752917097,-8.0,-18.0,53.02470713863994,1.9373640776699028,38.622290322580646
40.25,600.0,73.26746752917097,27.0,18.0,53.02470713863994,1.583005,31.6601
57.22,456.0,73.26746752917097,-5.0,-17.0,53.02470713863994,2.1598662280701753,41.03745833333333
43.13,532.0,73.38766521801544,47.0,36.0,9.493529796600342e-05,2.4328740601503758,51.77156
41.75,370.0,49.936474450709376,18.0,-7.0,49.93637951541141,2.2660891891891892,39.92633333333333
42.78,328.0,120.64814681172649,0.0,0.0,53.02470713863994,2.6353902439024393,86.4408
40.81,322.0,120.64814681172649,3.0,-5.0,53.02470713863994,2.676422360248447,86.1808
65.25,470.0,73.26746752917097,-7.0,-15.0,53.02470713863994,2.696953191489362,84.50453333333333
42.75,314.0,120.64814681172649,1.0,-6.0,53.02470713863994,2.7038949044585987,84.9023
33.95,328.0,120.64814681172649,27.0,21.0,53.02470713863994,2.486692073170732,81.5635
43.75,356.0,120.64814681172649,1.0,28.0,53.02470713863994,2.640710674157303,85.463
51.42,424.0,120.64814681172649,28.0,20.0,53.02470713863994,2.545594339622642,83.02553846153847
33.75,382.0,120.64814681172649,-34.0,-37.0,53.02470713863994,2.1138141361256544,67.28975
62.36,688.0,73.38766521801544,-12.0,-35.0,49.93637951541141,1.8488633720930232,38.546
62.42,632.0,73.38766521801544,1.0,-20.0,49.93637951541141,2.0801028481012658,39.83712121212121
62.7,632.0,73.38766521801544,42.0,18.0,49.93637951541141,1.9045268987341772,36.47457575757576
74.18,632.0,73.38766521801544,49.0,42.0,49.93637951541141,2.064795886075949,39.5439696969697
83.36,632.0,73.26746752917097,-6.0,-25.0,53.02470713863994,2.0254208860759495,38.78987878787879
64.64,632.0,73.38766521801544,-23.0,-36.0,49.93637951541141,2.072352848101266,39.68869696969697
42.63,632.0,73.38766521801544,-14.0,-36.0,49.93637951541141,1.9237120253164557,36.842
58.42,490.0,73.26746752917097,0.0,-15.0,53.02470713863994,2.6292244897959183,85.88799999999999
59.5,482.0,73.26746752917097,-39.0,-43.0,53.02470713863994,2.6712966804979255,85.83766666666666
50.5,482.0,73.26746752917097,-5.0,-10.0,9.493529796600342e-05,2.4304439834024896,78.09826666666666
59.25,452.0,73.26746752917097,53.0,46.0,53.02470713863994,2.783634955752212,89.87164285714286
59.67,482.0,73.26746752917097,-13.0,-16.0,53.02470713863994,2.6783360995850622,86.06386666666667
66.53,516.0,73.26746752917097,-31.0,-40.0,53.02470713863994,2.8148217054263567,90.778
60.75,482.0,73.26746752917097,-7.0,-12.0,53.02470713863994,2.5591431535269713,82.2338
33.75,482.0,73.26746752917097,16.0,20.0,53.02470713863994,1.9114294605809128,61.4206
57.0,486.0,73.26746752917097,22.0,18.0,53.02470713863994,2.6049218106995884,84.39946666666667
80.8,626.0,73.38766521801544,16.0,-11.0,49.93637951541141,1.8624408945686899,38.86293333333333
61.87,634.0,73.38766521801544,23.0,-2.0,49.93637951541141,2.031200315457413,40.24315625
60.75,486.0,73.26746752917097,15.0,18.0,53.02470713863994,2.6255555555555556,85.068
66.08,582.0,73.38766521801544,11.0,-14.0,49.93637951541141,2.2131134020618557,42.9344
75.42,558.0,73.38766521801544,12.0,-14.0,49.93637951541141,2.279164874551971,42.392466666666664
60.0,486.0,73.26746752917097,-30.0,-39.0,53.02470713863994,2.6707427983539094,86.53206666666667
51.75,458.0,73.26746752917097,25.0,14.0,53.02470713863994,2.3829737991266375,72.76013333333334
64.5,470.0,73.26746752917097,0.0,-6.0,53.02470713863994,2.75681914893617,86.38033333333333
63.67,632.0,73.38766521801544,12.0,-12.0,49.93637951541141,2.0577484177215193,39.409
65.9,644.0,73.38766521801544,47.0,21.0,49.93637951541141,1.9773338509316771,38.5879696969697
74.96,602.0,73.38766521801544,16.0,-13.0,49.93637951541141,2.100757475083056,40.79535483870968
57.29,568.0,73.38766521801544,18.0,-10.0,49.93637951541141,1.9479031690140847,35.69061290322581
79.11,580.0,73.38766521801544,11.0,-17.0,49.93637951541141,2.0793396551724137,38.90377419354839
64.0,462.0,73.26746752917097,-5.0,-11.0,53.02470713863994,2.781099567099567,85.65786666666666
64.28,462.0,73.26746752917097,-35.0,-41.0,53.02470713863994,2.81004329004329,86.54933333333334
38.2,462.0,73.26746752917097,1.0,-11.0,53.02470713863994,2.153123376623377,66.31620000000001
65.25,462.0,73.26746752917097,-5.0,-12.0,53.02470713863994,2.8037727272727273,86.3562
45.15,558.0,73.38766521801544,-15.0,-40.0,49.93637951541141,1.6394372759856632,30.493533333333335
52.34,638.0,73.38766521801544,14.0,-12.0,9.493529796600342e-05,1.6818589341692791,34.61374193548387
77.79,558.0,73.38766521801544,22.0,-5.0,49.93637951541141,2.3414050179211467,43.55013333333333
59.93,608.0,73.38766521801544,14.0,-7.0,49.93637951541141,1.9997401315789476,40.52806666666667
63.05,558.0,73.38766521801544,18.0,-7.0,49.93637951541141,2.1826810035842295,40.59786666666666
39.25,478.0,73.26746752917097,-34.0,-39.0,53.02470713863994,2.0496150627615064,65.3144
63.36,592.0,73.38766521801544,10.0,-12.0,49.93637951541141,2.1860304054054054,43.13766666666667
56.6,644.0,73.38766521801544,-8.0,-30.0,49.93637951541141,2.0032049689440994,41.61496774193549
73.6,592.0,73.38766521801544,14.0,-11.0,49.93637951541141,1.8907077702702701,37.30996666666667
40.5,478.0,73.26746752917097,-4.0,0.0,53.02470713863994,2.0847803347280336,66.435
59.75,448.0,73.26746752917097,35.0,34.0,53.02470713863994,2.6949776785714286,86.23928571428571
36.92,470.0,73.26746752917097,-36.0,-43.0,53.02470713863994,2.047855319148936,64.16613333333333
37.0,492.0,73.26746752917097,-6.0,-16.0,53.02470713863994,1.965727642276423,60.446125
38.25,478.0,73.26746752917097,-29.0,-4.0,53.02470713863994,1.9909163179916318,63.443866666666665
61.17,448.0,73.26746752917097,-17.0,-20.0,53.02470713863994,2.8761026785714283,92.0352857142857
58.75,478.0,73.26746752917097,25.0,16.0,53.02470713863994,2.548855648535565,81.22353333333334
47.25,478.0,73.26746752917097,-35.0,-45.0,53.02470713863994,2.30810669456067,73.55166666666668
65.25,482.0,73.26746752917097,-8.0,35.0,53.02470713863994,2.6664460580912865,85.68180000000001
61.75,482.0,73.26746752917097,-5.0,-4.0,53.02470713863994,2.700657676348548,86.78113333333334
39.88,690.0,73.38766521801544,13.0,-11.0,49.93637951541141,1.512089855072464,32.6044375
57.1,620.0,73.38766521801544,1.0,-24.0,49.93637951541141,1.7615112903225805,34.12928125
64.0,474.0,73.26746752917097,-58.0,17.0,53.02470713863994,2.7466877637130804,86.79533333333333
55.53,458.0,73.26746752917097,-61.0,-8.0,53.02470713863994,2.6213733624454147,80.03926666666666
